Number,Station,Catchment,Zone,Time stamp (Sampling),Electrical Conductivity @25 C / WCK - Determination of Conductivity in Water [µS/cm],Nitrogen - total / WCK - Simultaneous Determination of Total Nitrogen and Total Phosphorus using Persulphate Digestion [mg/L],Nitrate + nitrite as N (NOx) / WCK - Determination of Oxidised Nitrogen Nitrate & Nitrite in Water [mg/L],Phosphorus - total / WCK - Simultaneous Determination of Total Nitrogen and Total Phosphorus using Persulphate Digestion [mg/L],Phosphorus - reactive (orthophosphate) - dissolved / WCK - Determination of Reactive Phosphorus [mg/L],Solids - total suspended @ 105 C / WCK - Total Suspended Solids at 105°C [mg/L],Turbidity / Field - Determination of turbidity by nephelometry using HACH turbidimeter [NTU],Oxygen - dissolved saturation / Field - Water quality sonde [% sat],pH / Field - Water quality sonde [---]
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,5/7/2019 15:22,96.6,0.1,0.01,0.01,0.01,5,2.06,93.7,7.51
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,7/10/2019 2:23,95.9,0.1,0.01,0.01,0.01,5,2.89,95.2,7.42
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,8/8/2019 9:32,100.5,0.1,0.01,0.01,0.01,5,2.61,95.8,7.37
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,11/14/2019 13:58,166.3,0.1,0.02,0.01,0.01,5,2.22,48.8,5.63
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,12/11/2019 12:15,190.6,0.1,0.01,0.01,0.01,5,1.79,45.2,6.07
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,2/13/2020 8:30,157.5,3.9,1.6,0.2,0.03,170,63.42,75.6,6.88
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,3/11/2020 15:09,153.8,1.3,0.82,0.01,0.01,6,0.77,94.1,6.9
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,4/3/2020 13:24,146.2,0.8,0.51,0.02,0.01,5,0.56,93.2,7.12
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,5/6/2020 9:00,141.6,0.6,0.27,0.02,0.01,5,0.8,90.8,7.29
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,6/5/2020 12:56,130.5,0.2,0.05,0.03,0.01,5,,100.4,8.18
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,7/8/2020 17:04,128.2,0.1,0.01,0.01,0.01,5,0.12,99.4,
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,9/15/2020 16:52,102.8,0.3,0.3,0.02,0.01,5,,100.2,7.32
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,10/21/2020 16:15,100.3,0.4,0.15,0.01,0.01,5,0.85,98.6,7.4
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,11/11/2020 11:42,103.3,,,,,,11.36,94.5,7.07
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,12/2/2020 10:56,105.5,0.2,0.1,0.01,0.01,5,1,96.2,7.38
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,1/6/2021 14:30,107.7,2.6,1.24,0.16,0.01,190,138.69,89.4,6.7
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,2/3/2021 16:36,90.2,1.5,0.93,0.05,0.01,106,119.16,92.8,7.18
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,3/5/2021 5:50,94.9,0.3,0.1,0.01,0.01,5,1.79,86.9,7.37
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,4/7/2021 11:51,91.8,0.4,0.36,0.03,0.01,5,2.89,93.8,7.05
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,5/6/2021 7:35,100.6,1.2,0.53,0.09,0.01,204,80.12,93.3,7.01
21810018,TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,6/3/2021 7:36,95,0.4,0.23,0.02,0.01,5,1.38,95.5,7.21
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,7/12/2016 10:04,110,0.33,0.16,0.021,0.005,10,3.1,100,7.6
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,8/23/2016 10:22,130,0.27,0.13,0.01,0.005,10,1.5,103,7.9
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,9/27/2016 10:19,120,0.31,0.09,0.01,0.009,10,3,102,7.8
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,11/2/2016 8:46,140,0.22,0.11,0.01,0.005,10,2.7,98.3,8
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,11/23/2016 8:57,150,0.32,0.1,0.021,0.005,10,6.9,92.7,7.9
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,12/13/2016 9:25,160,0.18,0.03,0.01,0.005,10,2.5,107,8.3
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,1/18/2017 10:26,171,0.22,0.03,0.019,0.005,10,3,102,8.1
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,2/15/2017 8:25,168,0.289,0.04,0.024,0.005,10,2.4,100,7.9
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,3/22/2017 14:39,131,0.527,0.09,0.053,0.035,10,6.2,96.7,7.9
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,4/19/2017 9:12,150,0.38,0.24,0.02,0.017,10,3.6,100,7.8
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,5/24/2017 9:13,149,0.508,0.2,0.033,0.019,10,2.4,95.3,7.7
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,6/14/2017 9:07,161,0.358,0.2,0.02,0.01,10,2.5,93.9,
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,7/26/2017 9:27,170,0.35,0.12,0.01,0.007,10,2.2,99.9,7.9
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,8/23/2017 8:56,180,0.28,0.09,0.01,0.01,10,2.1,99.7,7.8
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,9/20/2017 10:52,220,0.28,0.03,0.02,0.006,10,1.9,109,8.3
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,10/25/2017 9:11,210,0.28,0.02,0.091,0.005,10,2.6,97.2,7.9
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,11/15/2017 8:33,190,0.28,0.02,0.027,0.005,10,2.2,102,8.1
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,12/19/2017 7:36,160,0.26,0.06,0.046,0.032,10,3.3,93.3,7.8
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,1/17/2018 8:06,190,0.31,0.03,0.042,0.022,10,4.6,97.2,7.9
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,2/21/2018 7:53,140,0.4,0.04,0.038,0.013,10,7.1,96.7,7.8
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,3/14/2018 7:39,170,0.19,0.03,0.024,0.009,10,3.3,92.6,7.8
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,4/18/2018 8:49,150,0.2,0.03,0.03,0.008,10,2.7,98.8,7.7
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,5/16/2018 9:31,164.8,,,,,6,2.32,99.5,7.88
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,6/20/2018 9:16,172.8,0.2,0.11,0.01,0.01,5,3.51,101.1,7.99
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,7/11/2018 9:21,187.3,0.3,0.11,0.02,0.01,13,4.01,99.4,7.89
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,8/15/2018 10:24,216,0.1,0.05,0.01,0.01,5,2.73,104.1,8.09
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,9/12/2018 9:41,231.2,0.5,0.08,0.03,0.01,5,4.7,104.8,8
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,10/31/2018 13:56,187.8,0.2,0.01,0.01,0.01,5,2.71,97.9,7.11
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,11/20/2018 7:52,198.9,0.2,0.01,0.01,0.01,6,2.52,98.8,
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,12/11/2018 8:59,172.8,0.2,0.01,0.02,0.01,5,2.28,101,8.39
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,1/16/2019 9:18,165.7,0.2,0.05,0.04,0.01,10,4.28,102.8,7.89
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,2/13/2019 8:29,171.7,0.3,0.06,0.05,0.03,5,4.04,96,7.83
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,3/13/2019 10:05,186.3,0.2,0.01,0.01,0.01,5,3.13,95.7,7.84
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,4/10/2019 11:01,140,0.3,0.09,0.02,0.01,7,3.92,102.1,7.93
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,5/8/2019 10:42,167.4,0.3,0.11,0.02,0.01,5,4.25,103.6,7.86
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,7/11/2019 10:29,194.1,0.2,0.12,0.02,0.01,5,2.61,98.9,8.03
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,8/8/2019 12:12,205.3,0.3,0.08,0.02,0.01,5,5.1,113.7,8.32
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,10/11/2019 10:57,210.5,0.1,0.08,0.01,0.01,5,3.36,105.6,8.05
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,11/15/2019 8:26,174.3,0.5,0.01,0.01,0.01,5,3.12,84.4,7.55
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,12/11/2019 14:48,227.4,0.3,0.01,0.03,0.01,5,3.6,136.4,8.6
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,1/15/2020 15:16,176.5,0.5,0.01,0.01,0.01,5,2.48,134.7,8.76
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,2/14/2020 12:00,162,2.2,1.22,0.09,0.06,14,8.35,97.3,7.34
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,3/12/2020 10:33,180.5,0.9,0.09,0.04,0.02,5,0.7,103.1,7.44
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,4/2/2020 11:21,204.4,0.8,0.49,0.04,0.02,5,1.38,99.8,7.64
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,5/4/2020 16:27,196.2,0.4,0.07,0.04,0.01,5,1.71,106.7,8.39
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,6/9/2020 10:55,198.2,0.5,0.02,0.29,0.01,6,0.39,103.2,7.88
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,7/9/2020 9:56,143.2,0.3,0.06,0.01,0.01,5,1.51,87.8,
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,9/14/2020 12:54,114.3,0.3,0.12,0.01,0.01,5,0.06,111.6,8.8
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,10/22/2020 8:30,129.1,0.3,0.1,0.03,0.01,5,0.87,98.4,7.79
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,11/11/2020 14:17,,,,,,,4.22,104.1,8.31
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,12/2/2020 13:24,100.4,0.3,0.1,0.02,0.01,5,1.6,104.5,8.14
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,1/7/2021 8:16,134.1,0.3,0.06,0.02,0.01,5,1.24,102.2,7.97
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,2/4/2021 8:51,120,0.4,0.22,0.02,0.01,5,1.8,100.6,7.85
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,3/3/2021 7:37,109.9,0.4,0.12,0.03,0.01,6,2.34,95.9,7.73
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,4/6/2021 8:20,104.9,0.7,0.46,0.02,0.01,5,2.31,97.9,7.72
21910054,BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,5/6/2021 11:01,76.2,1.4,0.52,0.14,0.05,34,23.81,96.3,7.14
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,7/12/2016 12:02,130,0.52,0.1,0.027,0.005,10,23.1,96.5,7.1
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,8/23/2016 12:22,170,0.14,0.01,0.01,0.005,10,1.4,96.6,7.6
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,9/27/2016 12:52,180,0.24,0.01,0.01,0.005,10,2.2,96.6,7.5
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,11/2/2016 10:58,170,0.24,0.02,0.01,0.005,10,1,91.6,7.6
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,11/23/2016 10:43,210,0.1,0.02,0.01,0.01,10,5.4,82.4,7.7
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,12/13/2016 12:57,210,0.16,0.02,0.01,0.005,10,1.3,92.6,7.6
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,1/18/2017 13:27,227,0.172,0.01,0.01,0.005,10,0.8,89.4,7.8
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,2/15/2017 10:33,234,0.224,0.02,0.016,0.005,10,3.7,90.8,7.6
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,4/19/2017 11:35,210,0.2,0.02,0.01,0.005,10,2.7,90.8,7.5
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,5/24/2017 11:04,165,0.659,0.29,0.022,0.005,10,8.1,88,7.6
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,6/14/2017 11:07,187,0.376,0.17,0.01,0.005,10,4.8,89.3,
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,7/26/2017 11:12,210,0.1,0.02,0.01,0.005,10,0.9,97.2,7.6
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,8/23/2017 10:22,220,0.29,0.02,0.01,0.006,10,1,94.2,7.6
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,9/20/2017 12:21,240,0.14,0.02,0.01,0.005,10,0.8,98.9,7.8
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,10/25/2017 10:58,260,0.12,0.01,0.01,0.005,10,1,85.2,7.6
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,11/15/2017 10:05,220,0.15,0.01,0.02,0.005,10,1,92.3,7.7
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,12/19/2017 9:07,220,0.18,0.01,0.01,0.005,10,3.4,85.8,7.7
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,1/17/2018 9:40,210,0.18,0.01,0.01,0.005,10,1,89.2,7.9
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,2/21/2018 9:23,230,0.16,0.01,0.01,0.005,10,2.7,82.4,7.5
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,3/14/2018 9:04,220,0.11,0.01,0.01,0.005,10,1.1,76.7,7.4
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,4/18/2018 10:13,230,0.09,0.02,0.03,0.008,10,1.2,75.2,7.2
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,5/16/2018 10:44,198.6,,,,,5,2.57,88.4,7.71
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,6/20/2018 10:31,205.6,0.2,0.01,0.01,0.01,5,1.89,95.4,7.82
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,7/11/2018 10:37,206.6,0.1,0.01,0.01,0.01,5,1.72,95.4,7.67
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,8/15/2018 11:37,230.8,0.1,0.01,0.01,0.01,5,1.31,98.4,7.87
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,9/12/2018 10:54,238.5,0.1,0.03,0.01,0.01,5,1.01,101.6,7.93
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,10/31/2018 13:58,223.3,0.1,0.01,0.01,0.01,5,0.88,95.3,6.85
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,11/20/2018 9:06,241.3,0.1,0.01,0.01,0.01,5,1.21,98.2,
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,12/11/2018 10:19,229.9,0.2,0.07,0.01,0.01,5,1.15,100.1,8.1
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,1/16/2019 10:36,227.5,0.1,0.01,0.02,0.01,5,1.96,89.5,7.43
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,2/13/2019 9:58,194.8,0.3,0.08,0.08,0.01,6,4.97,75.4,7.48
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,3/13/2019 11:16,233.3,0.1,0.01,0.01,0.01,5,2.57,62,7.13
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,4/10/2019 12:15,191.9,0.2,0.04,0.02,0.01,8,2.65,87.3,7.5
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,5/8/2019 12:06,213.2,0.2,0.01,0.01,0.01,5,1.93,89.2,7.54
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,7/9/2019 8:41,214.8,0.1,0.02,0.01,0.01,5,2.12,85.7,8.06
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,8/6/2019 9:34,214,0.1,0.01,0.01,0.01,5,1.77,89.2,6.51
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,10/9/2019 10:12,229.2,0.1,0.01,0.01,0.01,5,1.92,74.5,6.94
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,11/13/2019 8:09,206.7,0.2,0.01,0.01,0.01,5,2.69,51.7,6.75
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,12/10/2019 8:23,266.9,0.1,0.04,0.01,0.01,5,3.87,37,6.72
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,2/17/2020 12:00,255.8,1.4,0.35,0.06,0.03,12,4.24,71.6,7.25
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,3/9/2020 9:30,332.8,1.1,0.39,0.02,0.01,6,1,84.3,7.17
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,4/2/2020 7:26,320.5,0.4,0.01,0.02,0.01,5,0.75,63.2,7
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,5/1/2020 14:59,304.2,0.2,0.01,0.02,0.01,5,0.38,79.1,7.42
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,6/4/2020 8:14,302.9,0.4,0.01,0.24,0.01,5,,80.3,7.11
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,7/7/2020 8:47,285.2,0.2,0.01,0.01,0.01,5,0.02,81,
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,9/17/2020 11:41,189.2,0.1,0.03,0.01,0.01,5,,93.4,7.59
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,10/20/2020 7:35,152.8,0.4,0.06,0.01,0.01,5,0.9,91,7.59
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,11/10/2020 9:59,162.3,,,,,,0.86,97.5,7.54
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,12/1/2020 7:17,186.7,0.2,0.01,0.01,0.01,5,0.48,81.8,7.46
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,1/5/2021 7:40,185.2,0.2,0.01,0.01,0.01,5,3.08,85,7.47
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,2/2/2021 8:45,153.5,0.3,0.08,0.01,0.01,5,1.65,91.4,7.5
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,3/3/2021 9:11,172.8,0.2,0.01,0.01,0.01,5,0.52,84.9,7.58
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,4/6/2021 10:05,153.7,0.3,0.16,0.01,0.01,5,2.32,85.5,7.29
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,5/4/2021 10:25,159.1,0.2,0.02,0.01,0.01,5,1.78,94.4,7.49
22010241,TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,6/1/2021 8:22,156.4,0.3,0.1,0.02,0.01,5,7.38,96.9,7.17
